nflweek,gameDate,otyn,roadTeam,rtTotalScore,rtScore1Q,rtScore2Q,rtScore3Q,rtScore4Q,rtScoreOT,rtFirstDowns,rt3DConv,rt3DAtt,rt4DConv,rt4DAtt,rtTYds,rtRushYds,rtPassYds,rtTO,rtSacks,rtPen,rtPenYds,homeTeam,htTotalScore,htScore1Q,htScore2Q,htScore3Q,htScore4Q,htScoreOT,htFirstDowns,ht3DConv,ht3DAtt,ht4DConv,ht4DAtt,htTYds,htRushYds,htPassYds,htTO,htSacks,htPen,htPenYds
6,2016-10-16,N,PIT,15,8,0,0,7,0,15,3,11,0,1,297,128,169,2,0,6,65,MIA,30,3,13,7,7,0,24,7,14,0,0,474,222,252,0,2,8,95
6,2016-10-16,N,CIN,17,0,7,7,3,0,20,5,12,1,2,357,120,237,0,3,7,46,NE,35,3,7,15,10,0,25,4,10,1,1,437,79,358,0,2,6,55
6,2016-10-16,N,CAR,38,0,10,7,21,0,32,3,12,1,1,406,103,303,2,1,5,51,NO,41,14,10,7,10,0,21,7,16,1,1,523,63,460,1,2,10,126
6,2016-10-16,N,BAL,23,10,0,3,10,0,22,5,18,1,2,391,98,293,0,1,15,111,NYG,27,0,7,10,10,0,19,4,14,3,3,435,38,397,3,2,7,119
6,2016-10-16,N,PHI,20,0,14,0,6,0,12,4,12,0,0,239,94,145,0,0,13,114,WAS,27,7,14,3,3,0,25,6,12,0,0,493,230,263,1,5,9,75
6,2016-10-16,N,KC,26,7,6,10,3,0,21,8,14,0,0,406,183,223,0,2,2,10,OAK,10,7,3,0,0,0,16,4,10,0,2,287,65,222,2,1,3,25
6,2016-10-16,N,DAL,30,7,10,3,10,0,25,3,11,1,1,418,191,227,2,1,7,60,GB,16,3,3,0,10,0,23,7,13,0,1,372,78,294,4,2,5,23
6,2016-10-16,N,ATL,24,0,3,21,0,0,22,3,11,1,2,362,52,310,2,1,8,66,SEA,26,7,10,0,9,0,22,5,14,0,0,331,72,259,0,4,3,30
6,2016-10-16,Y,IND,23,3,10,0,10,0,19,5,14,0,1,392,161,231,1,1,7,42,HOU,26,0,3,6,14,3,26,5,11,0,0,414,158,256,1,3,7,59
6,2016-10-17,N,NYJ,3,0,3,0,0,0,11,2,13,1,2,230,33,197,2,0,10,83,ARI,28,7,7,7,7,0,28,6,11,0,0,396,171,225,0,1,9,64
7,2016-10-20,N,CHI,10,0,3,7,0,0,13,2,8,0,0,189,69,120,2,2,10,108,GB,26,3,3,7,13,0,32,9,16,1,2,406,103,303,1,1,9,56
7,2016-10-23,N,NYG,17,0,10,0,7,0,12,3,13,0,0,232,36,196,1,3,3,33,LA,10,10,0,0,0,0,18,9,19,1,1,345,74,271,4,0,8,43
7,2016-10-23,N,CLE,17,0,10,7,0,0,22,6,14,0,0,352,180,172,2,3,5,35,CIN,31,7,14,10,0,0,22,6,11,0,0,559,271,288,1,2,3,30
7,2016-10-23,N,WAS,17,0,3,0,14,0,26,9,15,0,0,418,134,284,2,3,4,20,DET,20,0,3,7,10,0,19,3,9,0,0,344,94,250,0,2,4,30
7,2016-10-23,N,IND,34,7,10,3,14,0,25,4,11,0,0,422,81,341,0,3,12,131,TEN,26,6,7,0,13,0,26,9,15,0,0,335,124,211,1,2,6,38
7,2016-10-23,N,NO,21,7,0,7,7,0,26,9,14,0,0,463,104,359,2,0,10,75,KC,27,14,7,3,3,0,19,3,10,0,0,326,112,214,0,1,4,30
7,2016-10-23,N,BUF,25,3,7,7,8,0,16,3,13,0,0,267,67,200,0,1,6,45,MIA,28,3,3,8,14,0,26,5,12,0,0,454,256,198,0,4,13,116
7,2016-10-23,N,BAL,16,10,6,0,0,0,11,3,14,0,1,244,6,238,3,5,4,35,NYJ,24,7,7,10,0,0,16,6,16,0,1,345,156,189,2,1,4,25
7,2016-10-23,N,MIN,10,0,3,0,7,0,17,9,19,0,3,282,93,189,4,0,7,56,PHI,21,0,11,7,3,0,15,3,11,1,1,239,101,138,4,6,7,53
7,2016-10-23,N,OAK,33,3,17,3,10,0,20,8,18,0,0,334,144,190,0,1,11,117,JAX,16,0,6,3,7,0,17,3,13,0,0,344,105,239,3,0,13,125
7,2016-10-23,Y,SD,33,7,10,3,10,3,26,9,16,1,1,426,78,348,2,3,3,14,ATL,30,6,21,0,3,0,21,6,12,0,1,386,130,256,1,4,9,70
7,2016-10-23,N,TB,34,0,17,10,7,0,27,6,14,0,1,513,249,264,1,4,7,78,SF,17,14,0,0,3,0,19,5,15,1,2,273,160,113,3,2,4,31
7,2016-10-23,N,NE,27,7,7,6,7,0,20,8,13,0,0,362,140,222,2,0,4,40,PIT,16,0,10,3,3,0,17,5,16,1,2,375,94,281,1,0,10,85
